id_instancia;Tempos Máximos;Quantidade_de_drones;Z;Tempo Computacional;Quantidade de restrições;Quantidade de variáveis
1;100;1;inf;0.416;1712;3698
1;120;1;inf;0.348;1712;3698
1;140;1;inf;0.421;1712;3698
1;160;1;inf;0.364;1712;3698
1;180;1;inf;0.37;1712;3698
1;200;1;190.02;0.381;1712;3698
1;300;1;190.02;0.386;1712;3698
1;1000;1;190.02;0.446;1712;3698
1;2000;1;190.02;0.452;1712;3698
1;100;2;inf;0.718;3378;7396
1;120;2;inf;0.747;3378;7396
1;140;2;inf;0.752;3378;7396
1;160;2;inf;0.698;3378;7396
1;180;2;inf;0.697;3378;7396
1;200;2;192.02;0.769;3378;7396
1;300;2;192.02;0.752;3378;7396
1;1000;2;192.02;0.697;3378;7396
1;2000;2;192.02;0.791;3378;7396
1;100;3;inf;0.887;5044;11094
1;120;3;inf;0.964;5044;11094
1;140;3;inf;1.028;5044;11094
1;160;3;inf;1.165;5044;11094
1;180;3;inf;1.054;5044;11094
1;200;3;194.02;1.194;5044;11094
1;300;3;194.02;1.174;5044;11094
1;1000;3;194.02;1.194;5044;11094
1;2000;3;194.02;1.252;5044;11094
1;100;4;inf;1.349;6710;14792
1;120;4;inf;1.374;6710;14792
1;140;4;inf;1.334;6710;14792
1;160;4;inf;1.356;6710;14792
1;180;4;inf;1.34;6710;14792
1;200;4;196.02;1.38;6710;14792
1;300;4;196.02;1.504;6710;14792
1;1000;4;196.02;1.53;6710;14792
1;2000;4;196.02;1.551;6710;14792
1;100;5;inf;1.532;8376;18490
1;120;5;inf;1.631;8376;18490
1;140;5;inf;1.797;8376;18490
1;160;5;inf;1.934;8376;18490
1;180;5;inf;1.816;8376;18490
1;200;5;198.02;1.95;8376;18490
1;300;5;198.02;2.072;8376;18490
1;1000;5;198.02;2.061;8376;18490
1;2000;5;198.02;2.0;8376;18490
2;100;1;inf;1.85;9819;17652
2;120;1;inf;1.922;9819;17652
2;140;1;inf;1.812;9819;17652
2;160;1;inf;1.941;9819;17652
2;180;1;inf;1.743;9819;17652
2;200;1;190.02;1.813;9819;17652
2;300;1;190.02;2.544;9819;17652
2;1000;1;190.02;2.439;9819;17652
2;2000;1;190.02;2.526;9819;17652
2;100;2;inf;3.178;19531;35304
2;120;2;inf;3.614;19531;35304
2;140;2;inf;3.456;19531;35304
2;160;2;inf;3.58;19531;35304
2;180;2;inf;3.548;19531;35304
2;200;2;192.02;3.786;19531;35304
2;300;2;192.02;5.498;19531;35304
2;1000;2;192.02;4.43;19531;35304
2;2000;2;192.02;5.974;19531;35304
2;100;3;inf;5.445;29243;52956
2;120;3;inf;6.717;29243;52956
2;140;3;inf;6.201;29243;52956
2;160;3;inf;5.768;29243;52956
2;180;3;inf;6.391;29243;52956
2;200;3;194.02;6.137;29243;52956
2;300;3;194.02;9.14;29243;52956
2;1000;3;194.02;6.644;29243;52956
2;2000;3;194.02;6.554;29243;52956
2;100;4;inf;6.195;38955;70608
2;120;4;inf;7.239;38955;70608
2;140;4;inf;8.231;38955;70608
2;160;4;inf;7.132;38955;70608
2;180;4;inf;7.868;38955;70608
2;200;4;196.02;8.822;38955;70608
2;300;4;196.02;11.98;38955;70608
2;1000;4;196.02;10.212;38955;70608
2;2000;4;196.02;10.7;38955;70608
2;100;5;inf;7.752;48667;88260
2;120;5;inf;8.834;48667;88260
2;140;5;inf;8.77;48667;88260
2;160;5;inf;9.131;48667;88260
2;180;5;inf;8.915;48667;88260
2;200;5;198.02;9.704;48667;88260
2;300;5;198.02;14.58;48667;88260
2;1000;5;198.02;12.38;48667;88260
2;2000;5;198.02;13.202;48667;88260
